id,date,competition,home,away,team,home_goals,away_goals,lineup,minutes,goals,assists,cards,minutes_acum,goals_acum,assists_acum,jersey
24,2005-10-18,EUR,Panathinaikos,FC Barcelona,FC Barcelona,0,0,SU,24,0,0,0,351,7,1,30
25,2006-03-07,EUR,FC Barcelona,Chelsea,FC Barcelona,1,1,ST,24,0,0,0,375,7,1,30
26,2018-05-20,PRM,FC Barcelona,Real Sociedad,FC Barcelona,1,0,SU,24,0,0,0,399,7,1,10
27,2007-07-06,CPA,Argentina,Paraguay,Argentina,1,0,SU,24,0,0,0,423,7,1,18
28,2018-10-20,PRM,FC Barcelona,Sevilla,FC Barcelona,4,2,ST,25,1,1,0,448,8,2,10
29,2005-10-01,PRM,FC Barcelona,Real Zaragoza,FC Barcelona,2,2,SU,25,0,0,0,473,8,2,30
30,2008-01-20,PRM,FC Barcelona,Racing Santander,FC Barcelona,1,0,SU,25,0,0,0,498,8,2,19
31,2005-09-14,EUR,Werder Bremen,FC Barcelona,FC Barcelona,0,2,SU,25,0,0,0,523,8,2,30
32,2008-04-12,PRM,Recreativo Huelva,FC Barcelona,FC Barcelona,2,2,SU,26,0,0,0,549,8,2,19
33,2006-09-27,EUR,Werder Bremen,FC Barcelona,FC Barcelona,1,1,SU,26,1,0,0,575,9,2,19
34,2006-05-30,FRN,Argentina,Angola,Argentina,2,0,SU,27,0,0,0,602,9,2,19
35,2014-01-08,CUP,FC Barcelona,Getafe,FC Barcelona,4,0,SU,27,2,0,0,629,11,2,10
36,2019-01-20,PRM,FC Barcelona,Leganés,FC Barcelona,3,1,SU,27,1,0,0,656,12,2,10
37,2015-09-04,FRN,Argentina,Bolivia,Argentina,7,0,SU,27,2,0,0,683,14,2,10
38,2012-12-05,EUR,FC Barcelona,Benfica,FC Barcelona,0,0,SU,28,0,0,0,711,14,2,10
39,2010-12-07,EUR,FC Barcelona,Rubin Kazan,FC Barcelona,2,0,SU,28,0,0,0,739,14,2,10
40,2018-12-11,EUR,FC Barcelona,Tottenham Hotspur F.C.,FC Barcelona,1,1,SU,28,0,0,0,767,14,2,10
41,2013-09-28,PRM,UD Almería,FC Barcelona,FC Barcelona,0,2,ST,28,1,0,0,795,15,2,10
42,2005-10-26,PRM,FC Barcelona,Málaga,FC Barcelona,2,0,SU,29,0,0,0,824,15,2,30
43,2013-03-09,PRM,FC Barcelona,Deportivo La Coruña,FC Barcelona,2,0,SU,29,1,0,0,853,16,2,10
44,2013-04-10,EUR,FC Barcelona,Paris Saint-Germain,FC Barcelona,1,1,SU,29,0,0,0,882,16,2,10
45,2011-09-10,PRM,Real Sociedad,FC Barcelona,FC Barcelona,2,2,SU,29,0,0,1,911,16,2,10
46,2010-11-10,CUP,FC Barcelona,AD Ceuta,FC Barcelona,5,1,SU,30,1,0,0,941,17,2,10
47,2010-09-29,EUR,Rubin Kazan,FC Barcelona,FC Barcelona,1,1,SU,30,0,0,0,971,17,2,10
48,2009-11-10,CUP,FC Barcelona,Cultural Leonesa,FC Barcelona,5,0,SU,30,1,0,0,1001,18,2,10
49,2017-12-05,EUR,FC Barcelona,Sporting Lisbon,FC Barcelona,2,0,SU,30,0,0,0,1031,18,2,10
50,2016-06-10,CPA,Argentina,Panama,Argentina,5,0,SU,30,3,0,0,1061,21,2,10
51,2006-08-17,SUP,Espanyol,FC Barcelona,FC Barcelona,0,1,SU,31,0,0,0,1092,21,2,19
52,2008-11-04,EUR,FC Barcelona,FC Basel,FC Barcelona,1,1,SU,31,1,0,0,1123,22,2,10
53,2016-09-10,PRM,FC Barcelona,Alavés,FC Barcelona,1,2,SU,31,0,0,0,1154,22,2,10
54,2013-06-11,WCQ,Ecuador,Argentina,Argentina,1,1,SU,31,0,0,0,1185,22,2,10
55,2018-04-17,PRM,Celta de Vigo,FC Barcelona,FC Barcelona,2,2,SU,31,0,0,0,1216,22,2,10
56,2014-10-14,FRN,Hong Kong,Argentina,Argentina,0,7,SU,31,2,1,0,1247,24,3,10
57,2008-10-01,EUR,Shakhtar Donetsk,FC Barcelona,FC Barcelona,1,2,SU,31,2,0,0,1278,26,3,10
58,2015-09-12,PRM,Atlético Madrid,FC Barcelona,FC Barcelona,1,2,SU,31,1,0,0,1309,27,3,10
59,2008-09-13,PRM,FC Barcelona,Racing Santander,FC Barcelona,1,1,SU,32,1,0,0,1341,28,3,10
60,2009-04-04,PRM,Real Valladolid,FC Barcelona,FC Barcelona,0,1,SU,32,0,0,0,1373,28,3,10
61,2012-09-15,PRM,Getafe,FC Barcelona,FC Barcelona,1,4,SU,32,2,0,0,1405,30,3,10
62,2009-02-01,PRM,Racing Santander,FC Barcelona,FC Barcelona,1,2,SU,32,2,0,0,1437,32,3,10
63,2013-04-27,PRM,Athletic de Bilbao,FC Barcelona,FC Barcelona,2,2,SU,32,1,1,0,1469,33,4,10
64,2018-02-04,PRM,Espanyol,FC Barcelona,FC Barcelona,1,1,SU,32,0,1,0,1501,33,5,10
65,2012-01-12,CUP,Osasuna,FC Barcelona,FC Barcelona,1,2,SU,32,0,1,0,1533,33,6,10
66,2012-01-04,CUP,FC Barcelona,Osasuna,FC Barcelona,4,0,SU,32,2,0,0,1565,35,6,10
67,2018-03-31,PRM,Sevilla,FC Barcelona,FC Barcelona,2,2,SU,33,1,0,0,1598,36,6,10
68,2011-04-23,PRM,FC Barcelona,Osasuna,FC Barcelona,2,0,SU,33,1,0,0,1631,37,6,10
69,2009-03-04,CUP,Real Mallorca,FC Barcelona,FC Barcelona,1,1,SU,33,1,0,0,1664,38,6,10
70,2009-09-12,PRM,Getafe,FC Barcelona,FC Barcelona,0,2,SU,33,1,0,0,1697,39,6,10
71,2004-12-21,PRM,FC Barcelona,Levante,FC Barcelona,2,1,SU,33,0,0,0,1730,39,6,30
72,2008-03-01,PRM,Atlético Madrid,FC Barcelona,FC Barcelona,4,2,SU,34,0,0,0,1764,39,6,19
73,2009-02-14,PRM,Real Betis,FC Barcelona,FC Barcelona,2,2,SU,34,0,0,0,1798,39,6,10
74,2014-06-07,FRN,Argentina,Slovenia,Argentina,2,0,SU,34,1,0,0,1832,40,6,10
75,2013-06-08,WCQ,Argentina,Colombia,Argentina,0,0,SU,34,0,0,0,1866,40,6,10
76,2013-05-05,PRM,FC Barcelona,Real Betis,FC Barcelona,4,2,SU,35,2,0,0,1901,42,6,10
77,2017-11-22,EUR,Juventus,FC Barcelona,FC Barcelona,0,0,SU,35,0,0,0,1936,42,6,10
78,2015-11-21,PRM,Real Madrid,FC Barcelona,FC Barcelona,0,4,SU,35,0,0,0,1971,42,6,10
79,2007-02-18,PRM,Valencia,FC Barcelona,FC Barcelona,2,1,SU,35,0,0,0,2006,42,6,19
80,2016-10-15,PRM,FC Barcelona,Deportivo La Coruña,FC Barcelona,4,0,SU,36,1,0,0,2042,43,6,10
81,2009-12-02,PRM,Xerez,FC Barcelona,FC Barcelona,0,2,SU,36,0,1,0,2078,43,7,10
82,2009-02-05,CUP,FC Barcelona,Real Mallorca,FC Barcelona,2,0,SU,36,0,0,0,2114,43,7,10
83,2018-09-29,PRM,FC Barcelona,Athletic de Bilbao,FC Barcelona,1,1,SU,36,0,1,1,2150,43,8,10
84,2008-03-04,EUR,FC Barcelona,Celtic,FC Barcelona,1,0,ST,37,0,0,0,2187,43,8,19
85,2006-06-24,WCP,Argentina,Mexico,Argentina,2,1,SU,37,0,0,0,2224,43,8,19
86,2010-08-14,SUP,Sevilla,FC Barcelona,FC Barcelona,3,1,SU,38,0,0,0,2262,43,8,10
87,2011-04-02,PRM,Villarreal,FC Barcelona,FC Barcelona,0,1,SU,38,0,0,0,2300,43,8,10
88,2009-12-16,WCT,Atlante,FC Barcelona,FC Barcelona,1,3,SU,38,1,0,0,2338,44,8,10
89,2010-12-21,CUP,FC Barcelona,Athletic de Bilbao,FC Barcelona,0,0,SU,38,0,0,0,2376,44,8,10
90,2010-04-24,PRM,FC Barcelona,Xerez,FC Barcelona,3,1,SU,39,0,0,0,2415,44,8,10
91,2009-11-07,PRM,FC Barcelona,Real Mallorca,FC Barcelona,4,2,SU,40,1,0,0,2455,45,8,10
92,2010-03-27,PRM,Real Mallorca,FC Barcelona,FC Barcelona,0,1,SU,40,0,0,0,2495,45,8,10
93,2007-12-15,PRM,Valencia,FC Barcelona,FC Barcelona,0,3,ST,44,0,2,0,2539,45,10,19
94,2006-02-05,PRM,FC Barcelona,Atlético Madrid,FC Barcelona,1,3,ST,45,0,0,0,2584,45,10,30
95,2008-06-09,FRN,United States,Argentina,Argentina,0,0,ST,45,0,0,0,2629,45,10,18
96,2008-04-19,PRM,FC Barcelona,Espanyol,FC Barcelona,0,0,SU,45,0,0,1,2674,45,10,19
97,2008-01-24,CUP,Villarreal,FC Barcelona,FC Barcelona,0,0,SU,45,0,0,1,2719,45,10,19
98,2016-01-17,PRM,FC Barcelona,Athletic de Bilbao,FC Barcelona,6,0,ST,45,1,0,0,2764,46,10,10
99,2015-01-04,PRM,Real Sociedad,FC Barcelona,FC Barcelona,1,0,SU,45,0,0,0,2809,46,10,10
100,2014-01-11,PRM,Atlético Madrid,FC Barcelona,FC Barcelona,0,0,SU,45,0,0,0,2854,46,10,10
101,2016-06-14,CPA,Argentina,Bolivia,Argentina,3,0,SU,45,0,0,0,2899,46,10,10
102,2014-11-18,FRN,Portugal,Argentina,Argentina,1,0,ST,45,0,0,0,2944,46,10,10
103,2013-04-02,EUR,Paris Saint-Germain,FC Barcelona,FC Barcelona,2,2,ST,45,1,0,0,2989,47,10,10
104,2013-08-21,SUP,Atlético Madrid,FC Barcelona,FC Barcelona,1,1,ST,45,0,0,0,3034,47,10,10
105,2007-09-29,PRM,Levante,FC Barcelona,FC Barcelona,1,4,ST,51,1,1,0,3085,48,11,19
106,2008-11-26,EUR,Sporting Lisbon,FC Barcelona,FC Barcelona,2,5,ST,56,1,1,0,3141,49,12,10
107,2010-08-11,FRN,Republic of Ireland,Argentina,Argentina,0,1,ST,57,0,0,0,3198,49,12,10
108,2016-09-21,PRM,FC Barcelona,Atlético Madrid,FC Barcelona,1,1,ST,58,0,0,0,3256,49,12,10
109,2018-01-11,CUP,FC Barcelona,Celta de Vigo,FC Barcelona,5,0,ST,58,2,1,0,3314,51,13,10
110,2017-03-01,PRM,FC Barcelona,Sporting Gijón,FC Barcelona,6,1,ST,60,1,1,0,3374,52,14,10
111,2008-05-11,PRM,FC Barcelona,Real Mallorca,FC Barcelona,2,3,ST,61,0,0,0,3435,52,14,19
112,2008-04-23,EUR,FC Barcelona,Manchester United,FC Barcelona,0,0,ST,61,0,0,0,3496,52,14,19
113,2006-10-11,FRN,Spain,Argentina,Argentina,2,1,ST,61,0,0,0,3557,52,14,19
114,2007-08-26,PRM,Racing Santander,FC Barcelona,FC Barcelona,0,0,ST,61,0,0,0,3618,52,14,19
115,2017-04-26,PRM,FC Barcelona,Osasuna,FC Barcelona,7,1,ST,62,2,0,0,3680,54,14,10
116,2014-06-25,WCP,Nigeria,Argentina,Argentina,2,3,ST,62,2,0,0,3742,56,14,10
117,2005-12-11,PRM,FC Barcelona,Sevilla,FC Barcelona,2,1,ST,62,0,0,1,3804,56,14,30
118,2009-09-22,PRM,Racing Santander,FC Barcelona,FC Barcelona,1,4,ST,63,2,1,0,3867,58,15,10
119,2017-02-04,PRM,FC Barcelona,Athletic de Bilbao,FC Barcelona,3,0,ST,63,1,0,0,3930,59,15,10
120,2016-05-27,FRN,Argentina,Honduras,Argentina,1,0,ST,63,0,0,0,3993,59,15,10
121,2006-09-17,PRM,Racing Santander,FC Barcelona,FC Barcelona,0,3,ST,64,0,0,0,4057,59,15,19
122,2014-10-21,EUR,FC Barcelona,Ajax,FC Barcelona,3,1,ST,65,1,1,0,4122,60,16,10
123,2005-11-27,PRM,FC Barcelona,Racing Santander,FC Barcelona,4,1,ST,66,1,0,0,4188,61,16,30
124,2005-12-20,PRM,FC Barcelona,Celta de Vigo,FC Barcelona,2,0,ST,66,0,0,0,4254,61,16,30
125,2013-06-15,FRN,Guatemala,Argentina,Argentina,0,4,ST,67,3,1,0,4321,64,17,10
126,2008-02-03,PRM,FC Barcelona,Osasuna,FC Barcelona,1,0,ST,67,0,0,0,4388,64,17,19
127,2008-10-04,PRM,FC Barcelona,Atlético Madrid,FC Barcelona,6,1,ST,69,1,0,0,4457,65,17,10
128,2005-11-19,PRM,Real Madrid,FC Barcelona,FC Barcelona,0,3,ST,69,0,1,0,4526,65,18,30
129,2006-02-25,PRM,Real Zaragoza,FC Barcelona,FC Barcelona,0,2,ST,69,0,0,0,4595,65,18,30
130,2005-09-27,EUR,FC Barcelona,Udinese,FC Barcelona,4,1,ST,69,0,0,0,4664,65,18,30
131,2006-06-21,WCP,Netherlands,Argentina,Argentina,0,0,ST,69,0,0,0,4733,65,18,19
132,2013-08-18,PRM,FC Barcelona,Levante,FC Barcelona,7,0,ST,70,2,1,0,4803,67,19,10
133,2007-03-03,PRM,Sevilla,FC Barcelona,FC Barcelona,2,1,ST,70,0,0,0,4873,67,19,19
134,2013-05-12,PRM,Atlético Madrid,FC Barcelona,FC Barcelona,1,2,ST,70,0,0,0,4943,67,19,10
135,2007-11-10,PRM,Getafe,FC Barcelona,FC Barcelona,2,0,ST,71,0,0,0,5014,67,19,19
136,2004-10-27,CUP,Gramenet,FC Barcelona,FC Barcelona,1,0,ST,72,0,0,0,5086,67,19,30
137,2014-02-15,PRM,FC Barcelona,Rayo Vallecano,FC Barcelona,6,0,ST,73,2,1,0,5159,69,20,10
138,2007-05-13,PRM,FC Barcelona,Real Betis,FC Barcelona,1,1,ST,74,0,0,0,5233,69,20,19
139,2009-11-21,PRM,Athletic de Bilbao,FC Barcelona,FC Barcelona,1,1,ST,75,0,0,0,5308,69,20,10
140,2007-04-18,CUP,FC Barcelona,Getafe,FC Barcelona,5,2,ST,76,2,1,0,5384,71,21,19
141,2006-01-07,PRM,Espanyol,FC Barcelona,FC Barcelona,1,2,ST,77,0,0,0,5461,71,21,30
142,2007-06-29,CPA,Argentina,United States,Argentina,4,1,ST,78,0,1,0,5539,71,22,18
143,2008-11-01,PRM,Málaga,FC Barcelona,FC Barcelona,1,4,ST,78,1,0,0,5617,72,22,10
144,2008-02-16,PRM,Real Zaragoza,FC Barcelona,FC Barcelona,1,2,ST,79,0,0,0,5696,72,22,19
145,2013-09-24,PRM,FC Barcelona,Real Sociedad,FC Barcelona,4,1,ST,80,1,1,0,5776,73,23,10
146,2008-02-24,PRM,FC Barcelona,Levante,FC Barcelona,5,1,ST,80,1,2,0,5856,74,25,19
147,2005-11-16,FRN,Qatar,Argentina,Argentina,0,3,ST,80,0,1,0,5936,74,26,18
148,2005-12-04,PRM,Villarreal,FC Barcelona,FC Barcelona,0,2,ST,80,0,0,0,6016,74,26,30
149,2009-01-06,CUP,Atlético Madrid,FC Barcelona,FC Barcelona,1,3,ST,80,3,0,0,6096,77,26,10
150,2008-12-06,PRM,FC Barcelona,Valencia,FC Barcelona,4,0,ST,81,0,0,0,6177,77,26,10
151,2013-01-24,CUP,Málaga,FC Barcelona,FC Barcelona,2,4,ST,81,1,0,0,6258,78,26,10
152,2007-06-17,PRM,Gimnàstic,FC Barcelona,FC Barcelona,1,5,ST,81,2,1,0,6339,80,27,19
153,2005-12-17,PRM,Cádiz,FC Barcelona,FC Barcelona,1,3,ST,81,0,1,0,6420,80,28,30
154,2006-01-15,PRM,FC Barcelona,Athletic de Bilbao,FC Barcelona,2,1,ST,82,1,0,0,6502,81,28,30
155,2007-09-26,PRM,FC Barcelona,Real Zaragoza,FC Barcelona,4,1,ST,82,2,0,0,6584,83,28,19
156,2007-10-13,WCQ,Argentina,Chile,Argentina,2,0,ST,83,0,0,0,6667,83,28,18
157,2009-11-14,FRN,Spain,Argentina,Argentina,2,1,ST,83,1,0,0,6750,84,28,10
158,2007-07-03,CPA,Argentina,Colombia,Argentina,4,2,ST,83,0,0,0,6833,84,28,18
159,2007-03-31,PRM,FC Barcelona,Deportivo La Coruña,FC Barcelona,2,1,ST,84,1,0,0,6917,85,28,19
160,2006-09-24,PRM,FC Barcelona,Valencia,FC Barcelona,1,1,ST,84,0,0,0,7001,85,28,19
161,2008-06-05,FRN,Mexico,Argentina,Argentina,1,4,ST,84,1,1,1,7085,86,29,18
162,2011-01-12,CUP,FC Barcelona,Real Betis,FC Barcelona,5,0,ST,85,3,0,0,7170,89,29,10
163,2010-03-31,EUR,Arsenal,FC Barcelona,FC Barcelona,2,2,ST,86,0,0,0,7256,89,29,10
164,2009-10-15,WCQ,Uruguay,Argentina,Argentina,0,1,ST,86,0,0,0,7342,89,29,10
165,2010-03-14,PRM,FC Barcelona,Valencia,FC Barcelona,3,0,ST,87,3,0,0,7429,92,29,10
166,2007-09-19,EUR,FC Barcelona,Olympique Lyon,FC Barcelona,3,0,ST,87,1,0,0,7516,93,29,19
167,2008-10-11,WCQ,Argentina,Uruguay,Argentina,2,1,ST,87,1,0,1,7603,94,29,18
168,2008-11-12,CUP,FC Barcelona,Benidorm,FC Barcelona,1,0,ST,87,1,0,0,7690,95,29,10
169,2007-06-02,FRN,Switzerland,Argentina,Argentina,1,1,ST,88,0,1,0,7778,95,30,18
170,2007-09-22,PRM,FC Barcelona,Sevilla,FC Barcelona,2,1,ST,88,2,0,0,7866,97,30,19
171,2007-05-26,PRM,FC Barcelona,Getafe,FC Barcelona,1,0,ST,89,0,0,0,7955,97,30,19
172,2008-06-19,WCQ,Brazil,Argentina,Argentina,0,0,ST,89,0,0,0,8044,97,30,18
173,2007-05-05,PRM,Real Sociedad,FC Barcelona,FC Barcelona,0,2,ST,89,0,0,0,8133,97,30,19
174,2009-05-10,PRM,FC Barcelona,Villarreal,FC Barcelona,3,3,ST,89,0,0,0,8222,97,30,10
175,2010-09-07,FRN,Argentina,Spain,Argentina,4,1,ST,89,1,0,0,8311,98,30,10
176,2007-09-11,FRN,Australia,Argentina,Argentina,0,1,ST,89,0,1,0,8400,98,31,19
177,2010-05-01,PRM,Villarreal,FC Barcelona,FC Barcelona,1,4,ST,89,2,0,0,8489,100,31,10
178,2015-02-08,PRM,Athletic de Bilbao,FC Barcelona,FC Barcelona,2,5,ST,90,1,2,0,8579,101,33,10
179,2015-03-18,EUR,FC Barcelona,Manchester City,FC Barcelona,1,0,ST,90,0,1,0,8669,101,34,10
180,2015-03-14,PRM,Eibar,FC Barcelona,FC Barcelona,0,2,ST,90,2,0,0,8759,103,34,10
181,2015-03-08,PRM,FC Barcelona,Rayo Vallecano,FC Barcelona,6,1,ST,90,3,1,0,8849,106,35,10
182,2015-03-04,CUP,Villarreal,FC Barcelona,FC Barcelona,1,3,ST,90,0,1,0,8939,106,36,10
183,2015-02-28,PRM,Granada,FC Barcelona,FC Barcelona,1,3,ST,90,1,0,0,9029,107,36,10
184,2015-02-24,EUR,Manchester City,FC Barcelona,FC Barcelona,0,2,ST,90,0,0,0,9119,107,36,10
185,2015-02-21,PRM,FC Barcelona,Málaga,FC Barcelona,0,1,ST,90,0,0,0,9209,107,36,10
186,2015-02-15,PRM,FC Barcelona,Levante,FC Barcelona,5,0,ST,90,3,1,0,9299,110,37,10
187,2015-02-11,CUP,FC Barcelona,Villarreal,FC Barcelona,3,1,ST,90,1,1,0,9389,111,38,10
188,2015-02-01,PRM,FC Barcelona,Villarreal,FC Barcelona,3,2,ST,90,1,0,0,9479,112,38,10
189,2015-01-28,CUP,Atlético Madrid,FC Barcelona,FC Barcelona,2,3,ST,90,0,0,1,9569,112,38,10
190,2015-03-22,PRM,FC Barcelona,Real Madrid,FC Barcelona,2,1,ST,90,0,1,0,9659,112,39,10
191,2018-06-21,WCP,Argentina,Croatia,Argentina,0,3,ST,90,0,0,0,9749,112,39,10
192,2015-04-05,PRM,Celta de Vigo,FC Barcelona,FC Barcelona,0,1,ST,90,0,0,0,9839,112,39,10
193,2015-09-08,FRN,Argentina,Mexico,Argentina,2,2,ST,90,1,0,0,9929,113,39,10
194,2015-06-30,CPA,Argentina,Paraguay,Argentina,6,1,ST,90,0,3,0,10019,113,42,10
195,2015-08-14,SUP,Athletic de Bilbao,FC Barcelona,FC Barcelona,4,0,ST,90,0,0,0,10109,113,42,10
196,2015-08-17,SUP,FC Barcelona,Athletic de Bilbao,FC Barcelona,1,1,ST,90,1,0,0,10199,114,42,10
197,2015-08-23,PRM,Athletic de Bilbao,FC Barcelona,FC Barcelona,0,1,ST,90,0,0,0,10289,114,42,10
198,2015-08-29,PRM,FC Barcelona,Málaga,FC Barcelona,1,0,ST,90,0,0,0,10379,114,42,10
199,2018-12-22,PRM,FC Barcelona,Celta de Vigo,FC Barcelona,2,0,ST,90,1,0,0,10469,115,42,10
200,2018-12-16,PRM,Levante,FC Barcelona,FC Barcelona,0,5,ST,90,3,2,0,10559,118,44,10
201,2015-01-24,PRM,Elche,FC Barcelona,FC Barcelona,0,6,ST,90,2,2,0,10649,120,46,10
202,2015-09-16,EUR,AS Roma,FC Barcelona,FC Barcelona,1,1,ST,90,0,0,0,10739,120,46,10
203,2015-09-20,PRM,FC Barcelona,Levante,FC Barcelona,4,1,ST,90,2,1,0,10829,122,47,10
204,2015-09-23,PRM,Celta de Vigo,FC Barcelona,FC Barcelona,4,1,ST,90,0,1,0,10919,122,48,10
205,2015-11-24,EUR,FC Barcelona,AS Roma,FC Barcelona,6,1,ST,90,2,1,1,11009,124,49,10
206,2015-11-28,PRM,FC Barcelona,Real Sociedad,FC Barcelona,4,0,ST,90,1,0,0,11099,125,49,10
207,2015-12-05,PRM,Valencia,FC Barcelona,FC Barcelona,1,1,ST,90,0,1,0,11189,125,50,10
208,2015-12-09,EUR,Bayer Leverkusen,FC Barcelona,FC Barcelona,1,1,ST,90,1,0,0,11279,126,50,10
209,2015-06-26,CPA,Argentina,Colombia,Argentina,0,0,ST,90,0,0,1,11369,126,50,10
210,2015-06-16,CPA,Argentina,Uruguay,Argentina,1,0,ST,90,0,0,0,11459,126,50,10
211,2015-04-08,PRM,FC Barcelona,UD Almería,FC Barcelona,4,0,ST,90,1,0,0,11549,127,50,10
212,2015-05-02,PRM,Córdoba,FC Barcelona,FC Barcelona,0,8,ST,90,2,1,0,11639,129,51,10
213,2015-04-11,PRM,Sevilla,FC Barcelona,FC Barcelona,2,2,ST,90,1,0,0,11729,130,51,10
214,2015-04-15,EUR,Paris Saint-Germain,FC Barcelona,FC Barcelona,1,3,ST,90,0,1,1,11819,130,52,10
215,2015-04-18,PRM,FC Barcelona,Valencia,FC Barcelona,2,0,ST,90,1,1,0,11909,131,53,10
216,2015-04-21,EUR,FC Barcelona,Paris Saint-Germain,FC Barcelona,2,0,ST,90,0,0,0,11999,131,53,10
217,2015-04-25,PRM,Espanyol,FC Barcelona,FC Barcelona,0,2,ST,90,1,0,0,12089,132,53,10
218,2015-04-28,PRM,FC Barcelona,Getafe,FC Barcelona,6,0,ST,90,2,1,0,12179,134,54,10
219,2019-01-06,PRM,Getafe,FC Barcelona,FC Barcelona,1,2,ST,90,1,0,0,12269,135,54,10
220,2015-06-13,CPA,Argentina,Paraguay,Argentina,2,2,ST,90,1,0,0,12359,136,54,10
221,2015-05-06,EUR,FC Barcelona,Bayern München,FC Barcelona,3,0,ST,90,2,1,0,12449,138,55,10
222,2015-05-09,PRM,FC Barcelona,Real Sociedad,FC Barcelona,2,0,ST,90,0,0,0,12539,138,55,10
223,2015-05-12,EUR,Bayern München,FC Barcelona,FC Barcelona,3,2,ST,90,0,0,0,12629,138,55,10
224,2015-05-17,PRM,Atlético Madrid,FC Barcelona,FC Barcelona,0,1,ST,90,1,0,1,12719,139,55,10
225,2015-05-23,PRM,FC Barcelona,Deportivo La Coruña,FC Barcelona,2,2,ST,90,2,0,0,12809,141,55,10
226,2015-05-30,CUP,Athletic de Bilbao,FC Barcelona,FC Barcelona,1,3,ST,90,2,0,0,12899,143,55,10
227,2015-06-06,EUR,Juventus,FC Barcelona,FC Barcelona,1,3,ST,90,0,0,0,12989,143,55,10
228,2015-06-20,CPA,Argentina,Jamaica,Argentina,1,0,ST,90,0,0,0,13079,143,55,10
229,2014-09-21,PRM,Levante,FC Barcelona,FC Barcelona,0,5,ST,90,1,2,0,13169,144,57,10
230,2015-01-21,CUP,FC Barcelona,Atlético Madrid,FC Barcelona,1,0,ST,90,1,0,0,13259,145,57,10
231,2014-03-05,FRN,Romania,Argentina,Argentina,0,0,ST,90,0,0,0,13349,145,57,10
232,2014-02-05,CUP,FC Barcelona,Real Sociedad,FC Barcelona,2,0,ST,90,0,0,1,13439,145,57,10
233,2014-02-09,PRM,Sevilla,FC Barcelona,FC Barcelona,1,4,ST,90,2,1,0,13529,147,58,10
234,2014-02-12,CUP,Real Sociedad,FC Barcelona,FC Barcelona,1,1,ST,90,1,0,0,13619,148,58,10
235,2014-02-18,EUR,Manchester City,FC Barcelona,FC Barcelona,0,2,ST,90,1,0,0,13709,149,58,10
236,2014-02-22,PRM,Real Sociedad,FC Barcelona,FC Barcelona,3,1,ST,90,1,0,0,13799,150,58,10
